Regions Code,Regions,Gender identity (4 categories) Code,Gender identity (4 categories),Ethnic group (8 categories) Code,Ethnic group (8 categories),Observation
E12000007,London,1,Gender identity the same as sex registered at birth,3,Mixed or Multiple ethnic groups,275199
E12000007,London,1,Gender identity the same as sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",2545125
E12000007,London,1,Gender identity the same as sex registered at birth,5,White: Irish,137830
E12000007,London,1,Gender identity the same as sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",1029112
E12000007,London,1,Gender identity the same as sex registered at birth,7,Other ethnic group,392628
E12000007,London,2,Gender identity different from sex registered at birth,-8,Does not apply,0
E12000007,London,2,Gender identity different from sex registered at birth,1,"Asian, Asian British or Asian Welsh",14529
E12000007,London,2,Gender identity different from sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",13819
E12000007,London,2,Gender identity different from sex registered at birth,3,Mixed or Multiple ethnic groups,3092
E12000007,London,2,Gender identity different from sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",13367
E12000007,London,2,Gender identity different from sex registered at birth,5,White: Irish,783
E12000007,London,2,Gender identity different from sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",11582
E12000007,London,2,Gender identity different from sex registered at birth,7,Other ethnic group,7189
E12000007,London,3,Not answered,-8,Does not apply,0
E12000007,London,3,Not answered,1,"Asian, Asian British or Asian Welsh",131029
E12000007,London,3,Not answered,2,"Black, Black British, Black Welsh, Caribbean or African",79423
E12000007,London,3,Not answered,3,Mixed or Multiple ethnic groups,23912
E12000007,London,3,Not answered,4,"White: English, Welsh, Scottish, Northern Irish or British",157344
E12000007,London,3,Not answered,5,White: Irish,9083
E12000007,London,3,Not answered,6,"White: Gypsy or Irish Traveller, Roma or Other White",114894
E12000007,London,3,Not answered,7,Other ethnic group,44275
E12000008,South East,-8,Does not apply,-8,Does not apply,0
E12000008,South East,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",0
E12000008,South East,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",0
E12000008,South East,-8,Does not apply,3,Mixed or Multiple ethnic groups,0
E12000008,South East,-8,Does not apply,4,"White: English, Welsh, Scottish, Northern Irish or British",0
E12000008,South East,-8,Does not apply,5,White: Irish,0
E12000008,South East,-8,Does not apply,6,"White: Gypsy or Irish Traveller, Roma or Other White",0
E12000008,South East,-8,Does not apply,7,Other ethnic group,0
E12000008,South East,1,Gender identity the same as sex registered at birth,-8,Does not apply,0
E12000008,South East,1,Gender identity the same as sex registered at birth,1,"Asian, Asian British or Asian Welsh",451951
E12000008,South East,1,Gender identity the same as sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",151376
E12000008,South East,1,Gender identity the same as sex registered at birth,3,Mixed or Multiple ethnic groups,131614
E12000008,South East,1,Gender identity the same as sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",5737044
E12000008,South East,1,Gender identity the same as sex registered at birth,5,White: Irish,69348
E12000008,South East,1,Gender identity the same as sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",472730
E12000008,South East,1,Gender identity the same as sex registered at birth,7,Other ethnic group,95985
E12000008,South East,2,Gender identity different from sex registered at birth,-8,Does not apply,0
E12000008,South East,2,Gender identity different from sex registered at birth,1,"Asian, Asian British or Asian Welsh",4774
E12000008,South East,2,Gender identity different from sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",2176
E12000008,South East,2,Gender identity different from sex registered at birth,3,Mixed or Multiple ethnic groups,1256
E12000008,South East,2,Gender identity different from sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",19798
E12000008,South East,2,Gender identity different from sex registered at birth,5,White: Irish,367
E12000008,South East,2,Gender identity different from sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",4430
E12000008,South East,2,Gender identity different from sex registered at birth,7,Other ethnic group,2026
E12000008,South East,3,Not answered,-8,Does not apply,0
E12000008,South East,3,Not answered,1,"Asian, Asian British or Asian Welsh",41945
E12000008,South East,3,Not answered,2,"Black, Black British, Black Welsh, Caribbean or African",12359
E12000008,South East,3,Not answered,3,Mixed or Multiple ethnic groups,9589
E12000008,South East,3,Not answered,4,"White: English, Welsh, Scottish, Northern Irish or British",286469
E12000008,South East,3,Not answered,5,White: Irish,4185
E12000008,South East,3,Not answered,6,"White: Gypsy or Irish Traveller, Roma or Other White",45218
E12000008,South East,3,Not answered,7,Other ethnic group,9942
E12000009,South West,-8,Does not apply,-8,Does not apply,0
E12000009,South West,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",0
E12000009,South West,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",0
E12000009,South West,-8,Does not apply,3,Mixed or Multiple ethnic groups,0
E12000009,South West,-8,Does not apply,4,"White: English, Welsh, Scottish, Northern Irish or British",0
E12000009,South West,-8,Does not apply,5,White: Irish,0
E12000009,South West,-8,Does not apply,6,"White: Gypsy or Irish Traveller, Roma or Other White",0
E12000009,South West,-8,Does not apply,7,Other ethnic group,0
E12000009,South West,1,Gender identity the same as sex registered at birth,-8,Does not apply,0
E12000009,South West,1,Gender identity the same as sex registered at birth,1,"Asian, Asian British or Asian Welsh",114379
E12000009,South West,1,Gender identity the same as sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",47059
E12000009,South West,1,Gender identity the same as sex registered at birth,3,Mixed or Multiple ethnic groups,61127
E12000009,South West,1,Gender identity the same as sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",3960032
E12000009,South West,1,Gender identity the same as sex registered at birth,5,White: Irish,28237
E12000009,South West,1,Gender identity the same as sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",206716
E12000009,South West,1,Gender identity the same as sex registered at birth,7,Other ethnic group,33766
E12000009,South West,2,Gender identity different from sex registered at birth,-8,Does not apply,0
E12000009,South West,2,Gender identity different from sex registered at birth,1,"Asian, Asian British or Asian Welsh",1331
E12000009,South West,2,Gender identity different from sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",851
E12000009,South West,2,Gender identity different from sex registered at birth,3,Mixed or Multiple ethnic groups,615
E12000009,South West,2,Gender identity different from sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",14110
E12000009,South West,2,Gender identity different from sex registered at birth,5,White: Irish,169
E12000009,South West,2,Gender identity different from sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",2069
E12000009,South West,2,Gender identity different from sex registered at birth,7,Other ethnic group,786
E12000009,South West,3,Not answered,-8,Does not apply,0
E12000009,South West,3,Not answered,1,"Asian, Asian British or Asian Welsh",10727
E12000009,South West,3,Not answered,2,"Black, Black British, Black Welsh, Caribbean or African",4315
E12000009,South West,3,Not answered,3,Mixed or Multiple ethnic groups,4597
E12000009,South West,3,Not answered,4,"White: English, Welsh, Scottish, Northern Irish or British",218181
E12000009,South West,3,Not answered,5,White: Irish,1902
E12000009,South West,3,Not answered,6,"White: Gypsy or Irish Traveller, Roma or Other White",21102
E12000009,South West,3,Not answered,7,Other ethnic group,3770
W92000004,Wales,-8,Does not apply,-8,Does not apply,0
W92000004,Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",0
W92000004,Wales,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",0
W92000004,Wales,-8,Does not apply,3,Mixed or Multiple ethnic groups,0
W92000004,Wales,-8,Does not apply,4,"White: English, Welsh, Scottish, Northern Irish or British",0
W92000004,Wales,-8,Does not apply,5,White: Irish,0
W92000004,Wales,-8,Does not apply,6,"White: Gypsy or Irish Traveller, Roma or Other White",0
W92000004,Wales,-8,Does not apply,7,Other ethnic group,0
W92000004,Wales,1,Gender identity the same as sex registered at birth,-8,Does not apply,0
W92000004,Wales,1,Gender identity the same as sex registered at birth,1,"Asian, Asian British or Asian Welsh",61562
W92000004,Wales,1,Gender identity the same as sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",18439
W92000004,Wales,1,Gender identity the same as sex registered at birth,3,Mixed or Multiple ethnic groups,26040
W92000004,Wales,1,Gender identity the same as sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",2186544
W92000004,Wales,1,Gender identity the same as sex registered at birth,5,White: Irish,11633
W92000004,Wales,1,Gender identity the same as sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",66075
W92000004,Wales,1,Gender identity the same as sex registered at birth,7,Other ethnic group,17011
W92000004,Wales,2,Gender identity different from sex registered at birth,-8,Does not apply,0
W92000004,Wales,2,Gender identity different from sex registered at birth,1,"Asian, Asian British or Asian Welsh",620
W92000004,Wales,2,Gender identity different from sex registered at birth,2,"Black, Black British, Black Welsh, Caribbean or African",368
W92000004,Wales,2,Gender identity different from sex registered at birth,3,Mixed or Multiple ethnic groups,284
W92000004,Wales,2,Gender identity different from sex registered at birth,4,"White: English, Welsh, Scottish, Northern Irish or British",7616
W92000004,Wales,2,Gender identity different from sex registered at birth,5,White: Irish,77
W92000004,Wales,2,Gender identity different from sex registered at birth,6,"White: Gypsy or Irish Traveller, Roma or Other White",919
W92000004,Wales,2,Gender identity different from sex registered at birth,7,Other ethnic group,386
W92000004,Wales,3,Not answered,-8,Does not apply,0
W92000004,Wales,3,Not answered,1,"Asian, Asian British or Asian Welsh",6649
W92000004,Wales,3,Not answered,2,"Black, Black British, Black Welsh, Caribbean or African",1701
W92000004,Wales,3,Not answered,3,Mixed or Multiple ethnic groups,2201
W92000004,Wales,3,Not answered,4,"White: English, Welsh, Scottish, Northern Irish or British",141030
W92000004,Wales,3,Not answered,5,White: Irish,993
